about us;o nas
about;opis
address book;książka adresowa
addressbook;książka adresowa
address;adres
acces;dostęp
article;artykuł
awards;nagrody
award;nagroda
button;guzik
buttons;guziki
clip;klip
collection;kolekcja
color;kolor
colour;kolor
contacts;kontakty
contact;kontakt
description;opis
documents;dokumenty
document;dokument
downloads;pliki do pobrania
download;plik do pobrania
gallery;galeria
galleries;galerie
groups;gupy
group;gupa
features;cechy
feature;cecha
files;pliki
file;plik
form;formularz
header;nagłówek
home;strona główna
images;obrazy
image;obraz
index;strona główna
languages;języki
language;język
main;główne
mode;tryb
movies;filmy
movie;film
name:nazwa
navigation;nawigacja
new;nowy
none;brak
offices;biura
office;biuro
options;opcje
option;opcja
order;kolejność
page link;link do strony
pages;strony
page;strona
photos;zdjęcia
photo;zdjęcie
pictures;obrazy
picture;obraz
preferences;preferencje
preview;zapowiedź
products;produkty
product;produkt
signature;podpis
settings;ustawienia
tables;tabelki
table;tabelka
text;tekst
title;tytuł
type;typ
version;wersja
video;wideo